Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
952,08/3/2017,Parentune,Consumer Internet,Online Community for Parents,Gurgaon,"Kae Capital, SEGN",Private Equity,N/A,nan
953,09/3/2017,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,"5,00,000",nan
954,09/3/2017,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,"45,00,000",nan
955,10/3/2017,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Netwo,Seed Funding,"4,43,000",nan
956,10/3/2017,iOrderFresh,ECommerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Ne,Seed Funding,N/A,nan
957,10/3/2017,Lavelle Networks,Technology,SDN Solutions,Bangalore,Ideaspring Capital,Seed Funding,"6,00,000",nan
958,10/3/2017,PropertyShare,Consumer Internet,Fractional Proerty Ownership & Rental,Bangalore,"Asuka, Pravega Ve",Seed Funding,N/A,nan
959,14/3/2017,MyDermacy,Consumer Internet,Online Dermatology consultation platfo,New Delhi,Cyber Carrier,Private Equity,N/A,nan
960,15/3/2017,LatestOne,eCommerce,Tech Accessories e-tailer,Hyderabad,"Florintree, Mathew",Private Equity,"33,50,000",nan
961,15/3/2017,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investo,Seed Funding,"1,00,000",nan
962,16/3/2017,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blum",Private Equity,"13,50,000",nan
963,16/3/2017,ShilpMIS,Technology,Virtual Reality platform,Surat,"Puneet Gupta, Nimi",Seed Funding,N/A,nan
964,16/3/2017,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Ka",Private Equity,"31,00,000",nan
965,16/3/2017,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhup",Seed Funding,"2,00,000",nan
966,17/3/2017,FarMart,Technology,Farming rental equipment provider,Gurgaon,Indian Angel Netwo,Seed Funding,N/A,nan
967,21/3/2017,Flipkart,eCommerce,ECommerce Marketplace,Bangalore,"Microsoft, eBay, Ten",Private Equity,"1,40,00,00,000",nan
968,21/3/2017,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rak",Private Equity,"36,70,000",nan
969,21/3/2017,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,LOccitane,Private Equity,"53,00,000",nan
970,22/3/2017,The Mons Co.,eCommerce,Pregnancy & Baby Care etailer,New Delhi,"Shripad Nadkarni, N",Seed Funding,N/A,nan
971,22/3/2017,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,"Ravi Saxena, Sand",Seed Funding,"1,91,000",nan
972,23/3/2017,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Ki",Private Equity,"1,50,00,000",nan
973,23/3/2017,Markets and Markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius",Private Equity,"5,60,00,000",nan
974,24/3/2017,Bizom,Technology,supply chain automation platform,Bangalore,Ojas Ventures,Seed Funding,"3,82,000",nan
975,24/3/2017,BabyonBoard,Consumer Internet,Parenting Mobile App,Bangalore,"Mahavir Sharma, Vi",Seed Funding,N/A,nan
976,24/3/2017,Delhivery,Technology,Tech enabled Fulfilment & Logistics So,New Delhi,"Carlyle Group, Tige",Private Equity,"10,00,00,000",nan
977,27/3/2017,Sport Flashes,Consumer Internet,Sports Based Online Media portal,New Delhi,"Vikas Bajaj, Amit Kh",Seed Funding,N/A,nan
978,28/3/2017,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,"5,00,000",nan
979,28/3/2017,Wigzo,Technology,Enterprise Automation suite,New Delhi,3one4 capital,Private Equity,N/A,nan
980,28/3/2017,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private Equity,"3,00,000",nan
981,29/3/2017,Zapyle,ECommerce,Luxury Fashion Marketplace,Bangalore,Undisclosed Investo,Seed Funding,N/A,nan
982,29/3/2017,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Punee",Seed Funding,"3,25,000",nan
983,29/3/2017,perpule,eCommerce,Self-Checkout ECommerce App,Bangalore,KStart Capital,Seed Funding,"6,50,000",nan
984,29/3/2017,Byju\\xe2\\x80\\x99s,Consumer Internet,Online Education Platform,Bangalore,Verlinvest,Private Equity,N/A,nan
985,29/3/2017,Licious,ECommerce,Online Meat Ordering platform,Bangalore,"Mayfield India, 3one",Private Equity,"1,00,00,000",nan
986,29/3/2017,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bangalore,"Vinod Martin, Hema",Seed Funding,"50,000",nan
987,30/3/2017,Indus OS,Technology,Mobile OS creator,Mumbai,"JSW Ventures, Vent",Private Equity,N/A,nan
988,30/3/2017,Emflux Motors,Technology,Electric Motorcycle manufacturer,Bangalore,"Meher Roy, Nikhil A",Seed Funding,N/A,nan
989,30/3/2017,Klinic App,Consumer Internet,Pathology & Diagnostic Tests Portal,Gurgaon,Om Chaudhry,Seed Funding,N/A,nan
990,31/3/2017,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,"Malini Patel, Stelcor",Seed Funding,"1,55,000",nan
991,31/3/2017,Oriano Solar,Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,"30,00,000",nan
992,31/3/2017,BigBasket,ECommerce,Online Grocer,Bangalore,Trifecta Capital,Private Equity,"70,00,000",nan
993,31/3/2017,Rooter,Consumer Internet,Sports engagement platform,New Delhi,Intex Technologies,Private Equity,N/A,nan
994,31/3/2017,FalconBrick,Technology,Real-Estate Workflow mobile app,Bangalore,"Satveer Thakral, Le",Seed Funding,N/A,nan
995,31/3/2017,Icertis,Technology,ERP solutions provider,Pune,"B Capital Group, Ig",Private Equity,"2,50,00,000",nan
996,02/2/2017,Clodura,Technology,Intelligent Sales Assistant,Pune,Undisclosed Investo,Seed Funding,N/A,nan
997,03/2/2017,Stockroom,Consumer Internet,Curated Platform for Developers,Hyderabad,"Satya D Sinha, Gya",Seed Funding,N/A,nan
998,06/2/2017,Capital Float,Consumer Internet,Online lending platform,Bangalore,IFMR Capital Finan,Private Equity,"25,00,000",nan
999,06/2/2017,iManageMyHotel,Technology,Hotel Management Solution,Kolkata,Jaarvis Accelerator,Seed Funding,N/A,nan
1000,07/2/2017,Inner Hour,Consumer Internet,Online Counselling Platform,Mumbai,Batlivala & Karani S,Seed Funding,"4,50,000",nan
1001,07/2/2017,Travel Triangle,Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SA",Private Equity,"1,00,00,000",nan
1002,08/2/2017,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities P",Bangalore,Earlsfield Capital,Seed Funding,"10,00,000",nan
1003,08/2/2017,Zenatix,Technology,IoT Based Energy Monitoring & Contro,Gurgaon,"pi Ventures, Blume",Private Equity,"12,00,000",nan
1004,08/2/2017,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,"5,50,00,000",nan
1005,08/2/2017,MindYourFleet,Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun",Seed Funding,N/A,nan
1006,08/2/2017,Edurev,Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start,Seed Funding,"40,000",nan
1007,09/2/2017,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bangalore,"RB Investments, Se",Private Equity,"60,00,000",nan
1008,09/2/2017,1Crowd,Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,N/A,nan
1009,09/2/2017,Wooplr,ECommerce,Women Fashion Portal,Bangalore,"Sistema Asia Fund,",Private Equity,"80,00,000",nan
1010,10/2/2017,48East,ECommerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,"5,00,000",nan
1011,10/2/2017,Redesyn,Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,N/A,nan
1012,13/2/2017,Sigtuple,Technology,Medical Automation platform,Bangalore,"Accel Partners, IDG",Private Equity,"58,00,000",nan
1013,13/2/2017,Flutura,Technology,Decision Sciences Analytics Solutions,Bangalore,"Vertex Ventures, Lu",Private Equity,"75,00,000",nan
1014,13/2/2017,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning S,Chennai,Anil Jain & other HN,Private Equity,"32,00,000",nan
1015,13/2/2017,Better Mortgage,Consumer Internet,Mortgage Offering Platform,Gurgaon,"Kleiner Perkins, Gol",Private Equity,"1,50,00,000",nan
1016,13/2/2017,Nurturey,Consumer Internet,Parenting Mobile App,New Delhi,Mohit Joshi & Other,Seed Funding,"3,30,000",nan
1017,13/2/2017,Fyle,Technology,Expense Management Solution,Bangalore,Pravega Ventures,Seed Funding,"4,00,000",nan
1018,14/2/2017,GoBumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,"Mahalingam K, Giris",Seed Funding,"3,00,000",nan
1019,14/2/2017,CCAvenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,"2,24,00,000",nan
1020,14/2/2017,Connaizen,Technology,Data Analytics platform,New Delhi,Vikram Sud,Seed Funding,N/A,nan
1021,15/2/2017,Innov8,Consumer Internet,Co-Working Space Platform,New Delhi,Vijay Shekhar Shar,Seed Funding,N/A,nan
1022,15/2/2017,ZestMoney,Consumer Internet,Online Consumer Lending platform,Bangalore,"PayU, Ribbit Capita",Private Equity,"65,00,000",nan
1023,15/2/2017,AirZaar,Technology,Drone operations management platfor,Missourie,Quake Capital,Seed Funding,"3,50,000",nan
1024,16/2/2017,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,"30,00,000",nan
1025,16/2/2017,YourStory,Consumer Internet,Online Media,Bangalore,Kalaari Capital Part,Private Equity,"30,00,000",nan
1026,17/2/2017,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,"5,00,000",nan
1027,17/2/2017,The Ken,Consumer Internet,Online Media Platform,Bangalore,Aprameya Radhakri,Seed Funding,"4,00,000",nan
1028,17/2/2017,Urban Ladder,ECommerce,Online Furniture Store,Bangalore,"Kalaari Capital, SAI",Private Equity,"1,52,00,000",nan
1029,17/2/2017,Aisle,Consumer Internet,Online match-making app,Bangalore,"Konglo Ventures, W",Seed Funding,N/A,nan
1030,17/2/2017,TownScript,Consumer Internet,DIY event registration and ticketing por,Pune,BookMyShow,Private Equity,N/A,nan
1031,17/2/2017,Leopetra,eCommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,"40,000",nan
1032,18/2/2017,Blood n Care,Consumer Internet,First Aid care app,Gurgaon,Facebook FBStart,Seed Funding,"40,000",nan
1033,20/2/2017,Flipkart,eCommerce,Online Marketplace,Bangalore,"Bennett, Coleman a",Private Equity,"3,87,00,000",nan
1034,21/2/2017,True Balance,Consumer Internet,Mobile balance Checking App,Gurgaon,Softbank Ventures,Private Equity,"1,50,00,000",nan
1035,22/2/2017,Vebbler,Consumer Internet,Photo Sharing for Groups,Bangalore,Facebook FBStart,Seed Funding,"40,000",nan
1036,23/2/2017,Get My Parking,Consumer Internet,Smart Parking Platform,New Delhi,Indian Angel Netwo,Private Equity,"11,00,000",nan
1037,23/2/2017,Lets Reap,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,"Kunal Shah, Sande",Seed Funding,N/A,nan
1038,24/2/2017,Oglas,Consumer Internet,Mobile Advertising App,Noida,"Pankaj Rungta, Yog",Seed Funding,N/A,nan
1039,27/2/2017,Staydobe,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,Ishan Manaktala,Seed Funding,N/A,nan
1040,27/2/2017,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Porta,Gurgaon,"Chandigarh Angels,",Seed Funding,"3,75,000",nan
1041,27/2/2017,Johari Shop,ECommerce,Online Jewellery etailer,Bangalore,Undisclosed Investo,Seed Funding,"94,000",nan
1042,28/2/2017,NeoStencil,Consumer Internet,Live Online Coaching Classes,New Delhi,"Brand Capital, Para",Private Equity,"10,00,000",nan
1043,28/2/2017,Blackbuck,Logistics,Online freight aggregator,Bangalore,"Sands Capital, IFC,",Private Equity,"7,00,00,000",nan
1044,02/1/2017,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai,",Seed Funding,"3,66,000",nan
1045,03/1/2017,TempoGo,Technology,IoT & SAAS Solutions for Transportatio,Panaji,K2 Capital,Seed Funding,"8,25,000",nan
1046,03/1/2017,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,Anand Chandrasek,Seed Funding,N/A,nan
1047,03/1/2017,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning servic,Gurgaon,Vishal Malik,Seed Funding,N/A,nan
1048,04/1/2017,LearnTron,Technology,Blended Learning Delivery App for Sch,Chennai,Kae Capital,Seed Funding,N/A,nan
1049,05/1/2017,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investmen,Private Equity,N/A,nan
1050,05/1/2017,Yostra,Technology,Healthcare Technology Solutions,Bangalore,Marico Innovation F,Private Equity,N/A,nan
1051,06/1/2017,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,India Nivesh Growth,Private Equity,"1,30,00,000",nan
1052,07/1/2017,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt,Private Equity,"5,70,00,000",nan
1053,09/1/2017,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,"3,50,00,000",nan
1054,10/1/2017,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pv,Private Equity,"8,00,000",nan
1055,10/1/2017,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trife",Private Equity,"50,00,000",nan
1056,10/1/2017,Loan Frame,Consumer Internet,Small Business Loans Marketplace pla,Gurgaon,"Vedanta Capital, Wi",Private Equity,"22,50,000",nan
1057,10/1/2017,DriveSkool,Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,N/A,nan
1058,10/1/2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan",Seed Funding,"1,00,000",nan
1059,10/1/2017,LensKart,eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,"35,00,000",nan
1060,11/1/2017,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Ka",Seed Funding,N/A,nan
1061,12/1/2017,Hansel,Consumer Internet,Real-time Mobile App Management Pl,Bangalore,"IDG Ventures, Endi",Private Equity,"13,50,000",nan
1062,12/1/2017,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre",Private Equity,"1,00,00,000",nan
1063,13/1/2017,Roambee,Technology,IoT smart Logistics and Asset Manage,Mumbai,Deutsche Telekom,Private Equity,"41,00,000",nan
1064,13/1/2017,PaisaWapas,Consumer Internet,Cashback & Coupons platform,Bangalore,Vividhity Ventures,Seed Funding,N/A,nan
1065,13/1/2017,iService,Consumer Internet,Gadgets Repair & Service Booking pla,Bangalore,"Blume Ventures, Gi",Seed Funding,"4,40,000",nan
1066,14/1/2017,Unacademy,Consumer Internet,Online learning platform,Bangalore,Nexus Venture Part,Private Equity,"45,00,000",nan
1067,14/1/2017,SecururAX,Technology,Cloud-based solutions provider,Bangalore,"Axilor Ventures, Par",Private Equity,N/A,nan
1068,16/1/2017,Leadburg,Consumer Internet,Personality Development Mobile App,Bangalore,"Harsh V. Pant, Rath",Seed Funding,N/A,nan
1069,16/1/2017,ZoloStays,Consumer Internet,Branded PG Accomodation booking pl,Bangalore,Nexus Venture Part,Private Equity,"50,00,000",nan
1070,16/1/2017,Oi Media,Technology,SAAS Based Media Marketing platform,New Delhi,Quarizon,Seed Funding,N/A,nan
1071,16/1/2017,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investo,Seed Funding,"7,00,000",nan
1072,17/1/2017,Curiositi,Consumer Internet,Online Learning Platform,Bangalore,Menterra Social Imp,Private Equity,"8,00,000",nan
1073,17/1/2017,TinyStep,Consumer Internet,Parenting Info & Social Network,Bangalore,Flipkart,Private Equity,"20,00,000",nan
1074,17/1/2017,Practo,Consumer Internet,Online Healthcare platform,Bangalore,"Tencent, ru-Net, RS",Private Equity,"5,50,00,000",nan
1075,17/1/2017,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and o,Seed Funding,"4,41,000",nan
1076,17/1/2017,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investo,Seed Funding,"5,00,000",nan
1077,17/1/2017,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bangalore,"Ajith Nair, Anish K",Seed Funding,"1,47,000",nan
1078,18/1/2017,Kratikal,Technology,Cyber Security Solution provider,New Delhi,"Amajit Gupta, Prave",Seed Funding,N/A,nan
1079,18/1/2017,Direct Create,eCommerce,B2B Marketplace for Handicrafts,Gurgaon,Rajasthan Venture,Seed Funding,N/A,nan
1080,18/1/2017,Vahdam Teas,eCommerce,Online Tea etailer,New Delhi,Mumbai Angels Net,Seed Funding,"6,50,000",nan
1081,18/1/2017,Qwikspec,Technology,Cloud-based construction,Bangalore,Undisclosed Investo,Seed Funding,"3,00,000",nan
1082,19/1/2017,PParke,Consumer Internet,Parking Solutions mobile app,Bangalore,SB Ventures,Seed Funding,N/A,nan
1083,19/1/2017,Weddingz,Consumer Internet,Online Marketplace for Wedding Venue,Mumbai,Singularity Ventures,Private Equity,"10,00,000",nan
1084,19/1/2017,Native Special,eCommerce,Indian Sweets & Snacks etailer,Karur,Indian Angel Netwo,Seed Funding,N/A,nan
1085,19/1/2017,Fitnapp,Consumer Internet,Fitness Mobile App,Noida,SD Group,Private Equity,N/A,nan
1086,20/1/2017,Ethosh,Technology,Visual and Interactive communications,Pune,Deepak Nathani,Seed Funding,N/A,nan
1087,20/1/2017,Wydr,eCommerce,B2B Wholesale Marketplace in India,Gurgaon,Bessemer Venture,Private Equity,N/A,nan
1088,20/1/2017,Tyre Express,Technology,IoT platform for Tyre Performance man,Mumbai,IvyCamp Ventures,Seed Funding,N/A,nan
1089,20/1/2017,Connaizen,Technology,Data Analytics platform,New Delhi,Umang Moondra,Seed Funding,N/A,nan
1090,22/1/2017,MessaGif,Consumer Internet,social messaging platform,New Delhi,Undisclosed investo,Seed Funding,"50,000",nan
1091,23/1/2017,SmartHi,Technology,Audit automation Solutions,Pune,Singapore based in,Seed Funding,N/A,nan
1092,23/1/2017,CRON Systems,Technology,Border Intrusion Alert Solutions,New Delhi,YourNest Fund II,Seed Funding,N/A,nan
1093,23/1/2017,CueMath,Technology,Maths Learning program,New Delhi,"CapitalG, Sequoia I",Private Equity,"1,50,00,000",nan
1094,23/1/2017,ChipperSage,Technology,Online learning platform,Bangalore,India Educational In,Seed Funding,N/A,nan
1095,24/1/2017,SelectJobs,Consumer Internet,Online Job portal,Mumbai,India Educational In,Seed Funding,N/A,nan
1096,24/1/2017,Khel Now,Consumer Internet,Mobile-based Social Platform for Sport,Bangalore,Indochine Internatio,Private Equity,"5,00,000",nan
1097,24/1/2017,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL,",Private Equity,"1,00,00,000",nan
1098,24/1/2017,Lets Transport,Consumer Internet,Online transport vehicle booking platfo,Bangalore,"GMO Japan, Neele",Private Equity,"40,00,000",nan
1099,24/1/2017,BetaOut,Technology,ECommerce Marketing Software,Noida,East Ventures & Ot,Private Equity,N/A,nan
1100,25/1/2017,Wishberry,Consumer Internet,Crowdfunding Platform,Mumbai,"Sharad Sharma, Ra",Seed Funding,N/A,nan
1101,25/1/2017,RML Agtech,Technology,Agri Decision Support Solution for farm,Pune,IvyCap Ventures,Private Equity,"40,00,000",nan
1102,25/1/2017,LoyaltyPrime,Technology,Loyalty program management solution,New Delhi,"Senovo, Unternehm",Private Equity,N/A,nan
1103,25/1/2017,InstaSafe,Technology,Security-as-a-Service solution provider,Bangalore,ABM Knowledgewa,Private Equity,"22,00,000",nan
1104,25/1/2017,Infibeam,eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman a",Private Equity,"88,00,000",nan
1105,02/1/2017,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,N/A,nan
1106,26/1/2017,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePhar,Ahmedabad,Brand Capital,Private Equity,"14,00,000",nan
1107,26/1/2017,99PerHour,Consumer Internet,Hyper-local Handyman Service provide,Chennai,V Aanand R,Seed Funding,"3,00,000",nan
